SM-CJK45	76_120417
SM-CJK46	591_120522
SM-CJK3S	477_120514
SM-CJK3P	130_120419
SM-CJK42	393_120503
SM-CJK3O	146_120419
SM-CJK3L	54_120417
SM-CJK3J	328_120501
SM-CJK3I	600_120523
SM-CJK3D	682_120604
SM-CJK3B	626_120524
SM-CJK3C	25_120411
SM-CJK5B	191_120424
SM-CJK5C	507_120515
SM-CJK5A	94_120417
SM-CJK4Z	266_120430
SM-CJK4W	238_120426
SM-CJK58	60_120417
SM-CJK59	46_120416
SM-CJK4X	228_120425
SM-CJK4V	255_120426
SM-CJK4S	118_120418
SM-CJK55	699_120605
SM-CJK4Q	131_120419
SM-CJK52	679_120604
SM-CJK4R	532_120516
SM-CJK51	359_120502
SM-CJK4M	212_120424
SM-CJK4I	608_120523
SM-CJK4J	654_120529
SM-CJK4H	73_120417
SM-CJK4C	280_120430
MAP50106992	326_120501
SM-CJIZY	937_131101
SM-CJIZZ	934_131101
SM-CJIZX	945_131107
SM-CJIZV	826_130725
SM-CJIZS	498_120515
SM-CJIZT	862_130911
SM-CJIZR	586_120522
SM-CJIZO	583_120522
SM-CJIZP	517_120515
SM-CJIZK	482_120514
SM-CJIZL	678_120604
SM-CJIYH	414_120503
SM-CJIYI	372_120502
SM-CJIYF	581_120521
SM-CJIYG	390_120503
SM-CJIYE	89_120417
SM-CJIYC	222_120425
SM-CJIYA	413_120503
SM-CJIXY	276_120430
SM-CJIXZ	155_120423
SM-CJIY8	298_120430
SM-CJIXW	05_120405
SM-CJIY9	203_120424
SM-CJIY6	677_120604
SM-CJIXU	19_120411
SM-CJIY7	494_120515
SM-CJIY5	252_120426
SM-CJIXR	125_120419
SM-CJIXO	577_120521
SM-CJIXP	602_120523
SM-CJIY1	325_120501
SM-CJIXM	438_120507
SM-CJIXK	207_120424
SM-CJIXI	74_120417
SM-CJIXJ	521_120515
SM-CJIZI	112_120418
SM-CJIZJ	72_120417
SM-CJIZH	219_120425
SM-CJIYZ	407_120503
SM-CJIYX	885_130923
SM-CJIYV	694_120605
SM-CJIYW	221_120425
SM-CJIZ5	256_120426
SM-CJIYM	133_120419
SM-CJIYJ	288_120430
SM-CJIYK	214_120425
SM-CJIXG	315_120501
SM-CJIXC	66_120417
SM-CJIXB	R24_131017
SM-CJIWX	02_120405
SM-CJIWY	476_120514
SM-CJIWV	318_120501
SM-CJIWW	165_120423
SM-CJIX5	547_120516
SM-CJIWT	204_120424
SM-CJIWU	648_120529
SM-CJIX6	332_120501
SM-CJIX4	171_120423
SM-CJIWS	354_120501
SM-CJJ1Z	791_130530
SM-CJJ28	768_130523
SM-CJJ26	763_130520
SM-CJJ27	767_130523
SM-CJJ1S	533_120516
SM-CJJ1R	492_120515
SM-CJJ23	809_130702
SM-CJJ1P	555_120517
SM-CJJ1M	787_130530
SM-CJJ1N	958_131107
SM-CJJ1K	168_120423
SM-CJJ1L	479_120514
SM-CJJ1H	411_120503
SM-CJJ1E	684_120604
SM-CJJ1F	950_131107
SM-CJJ1C	704_120605
SM-CJJ1D	936_131101
SM-CJJ2Z	670_120530
SM-CJJ2X	312_120430
SM-CJJ2V	299_120430
SM-CJJ38	653_120529
SM-CJJ2T	721_120531
SM-CJJ35	672_120530
SM-CJJ2U	709_120531
SM-CJJ34	646_120524
SM-CJJ31	706_120605
SM-CJJ2P	805_130701
SM-CJJ32	643_120524
SM-CJJ2N	807_130701
SM-CJJ2O	790_130530
SM-CJJ2M	770_130523
SM-CJJ2J	820_130725
SM-CJJ2H	810_130702
SM-CJJ2F	776_130528
SM-CJJ2G	redo4_140501
SM-CJJ2D	769_130523
SM-CJJ2B	812_130702
SM-CJJ18	588_120522
