R5609	Br1947
Br2094_R4337	Br2094
Br1663_R2841	Br1663
Br2292_R5689	Br2292
Br1228_R2945	Br1228
Br1263_R3446	Br1263
Br1738_R3978	4578969141_R01C01
Br1963_R4253	Br1963
Br2038_R5600	Br2038
Br1536_R3568	Br1536
Br1849_R3593	Br1849
Br1280_R3493	Br1280
Br1797_R3476	Br1797
Br1060_R4228	Br1060
Br1371_R2896	Br1371
Br2133_R4317	5421787118_R01C02
Br1099_R2835	Br1099
Br1056_R4227	Br1056
Br1507_R2860	Br1507
Br1298_R3929	Br1298
Br2108_R4326	5533017018_R01C01
Br1840_R3666	Br1840
Br1464_R3092	Br1464
Br1021_R3906	Br1021
Br1814_R3403	Br1814
Br2416_R5817	Br2416
Br2084_R5633	Br2084
Br1409_R4054	Br1409
Br2151_R4408	5421787405_R01C02
Br1548_R4184	Br1548
Br2173_R4370	Br2173
Br1936_R4070	Br1936
Br1156_R5862	Br1156
Br1900_R3677	Br1900
Br1794_R3377	Br1794
Br1613_R2839	Br1613
Br1795_R3401	Br1795
Br898_R2857	Br898
Br888_R3418	Br888
Br1793_R3475	Br1793
Br1265_R3540	Br1265
Br1890_R3791	Br1890
Br2184_R4388	Br2184
Br1503_R4243	Br1503
Br2215_R4356	Br2215
Br2161_R4396	5421787243_R01C01
Br848_R4177	Br848
Br1420_R3408	Br1420
Br1872_R3547	Br1872
Br1703_R2890	Br1703
Br942_R3441	Br942
Br948_R4168	Br948
Br822_R3549	Br822
Br2009_R5740	Br2009
Br1750_R3771	Br1750
Br1134_R3467	Br1134
Br1824_R3440	Br1824
Br884_R3599	Br884
Br2144_R4417	Br2144
Br2046_R5622	Br2046
Br2178_R4384	Br2178
Br2209_R4294	5421787315_R01C01
Br1474_R3460	Br1474
Br1923_R4040	5421787194_R01C01
Br2217_R4424	Br2217
Br1325_R5865	Br1325
Br2413_R5811	Br2413
Br1870_R3511	Br1870
Br1473_R3506	Br1473
Br1874_R5824	Br1874
Br2076_R5624	Br2076
Br1378_R2897	Br1378
Br1531_R3482	Br1531
Br1111_R2845	Br1111
Br1427_R3555	Br1427
Br1812_R3415	Br1812
Br1994_R5592	Br1994
