R5609	Br1947
SRR3438887	SAMN04900976
SRR3438801	SAMN04900983
SRR3438889	SAMN04900977
SRR3438883	SAMN04900973
SRR934829	SAMN02251205
SRR934826	SAMN02251206
SRR934753	SAMN02251198
SRR934806	SAMN02251197
SRR934750	SAMN02251201
SRR934748	SAMN02251203
SRR921941	SAMN02213457
SRR921949	SAMN02213461
SRR921935	SAMN02213455
SRR921937	SAMN02213469
SRR934923	SAMN02251330
SRR934934	SAMN02251334
SRR934943	SAMN02251333
SRR934926	SAMN02251329
SRR934921	SAMN02251331
SRR4407813	SAMN05891429
SRR4407825	SAMN05891440
SRR4407824	SAMN05891439
SRR4407822	SAMN05891437
SRR611070	SAMN01797226
SRR1747154	SAMN03279804
SRR1747156	SAMN03279797
SRR1747160	SAMN03279799
SRR1747163	SAMN03279798
SRR1747151	SAMN03279801
SRR1747143	SAMN03279806
SRR1747171	SAMN03279802
SRR1747209	SAMN03279800
SRR1747203	SAMN03279805
SRR1747146	SAMN03279803
SRR3438720	SAMN04901203
SRR3438719	SAMN04901202
SRR3438721	SAMN04901204
SRR3438728	SAMN04901211
SRR3438717	SAMN04901200
SRR3438718	SAMN04901201
SRR3438858	SAMN04901189
SRR3438727	SAMN04901210
SRR3438829	SAMN04901163
SRR3438608	SAMN04901160
SRR3438835	SAMN04901166
SRR3438834	SAMN04901162
SRR3438831	SAMN04901165
SRR3438610	SAMN04901161
SRR3438836	SAMN04901167
SRR3438830	SAMN04901164
SRR1521441	SAMN02928546
SRR1521439	SAMN02928544
SRR1521444	SAMN02928548
SRR1521442	SAMN02928547
SRR1521440	SAMN02928545
SRR3438557	SAMN04901135
SRR3438658	SAMN04901129
SRR3438558	SAMN04901136
SRR3438559	SAMN04901137
SRR3438556	SAMN04901134
SRR3438652	SAMN04901126
SRR3438555	SAMN04901133
SRR3438661	SAMN04901131
SRR934911	SAMN02251150
SRR934913	SAMN02251143
SRR934955	SAMN02251141
SRR934954	SAMN02251138
SRR934902	SAMN02251145
SRR934907	SAMN02251147
SRR934914	SAMN02251142
SRR934900	SAMN02251148
SRR1747205	SAMN03279807
SRR1747170	SAMN03279814
SRR1747184	SAMN03279816
SRR1747191	SAMN03279810
SRR1747175	SAMN03279808
SRR1747206	SAMN03279819
SRR1747153	SAMN03279813
SRR1747148	SAMN03279817
SRR1747173	SAMN03279815
SRR1747197	SAMN03279859
SRR1747201	SAMN03279855
SRR1747162	SAMN03279849
SRR1747199	SAMN03279860
SRR1747196	SAMN03279856
SRR1747193	SAMN03279861
SRR1747164	SAMN03279854
SRR1747195	SAMN03279858
SRR1747161	SAMN03279850
SRR786618	SAMN01983960
SRR786620	SAMN01983962
SRR786614	SAMN01983956
SRR786622	SAMN01983964
SRR786617	SAMN01983959
SRR786616	SAMN01983958
SRR786621	SAMN01983963
SRR786615	SAMN01983957
SRR786623	SAMN01983965
SRR786619	SAMN01983961
SRR3438560	SAMN04901138
SRR934846	SAMN02251168
SRR934811	SAMN02251174
SRR934849	SAMN02251164
SRR934852	SAMN02251166
SRR934839	SAMN02251171
SRR934845	SAMN02251175
SRR934842	SAMN02251172
SRR2015775	SAMN03651516
SRR2015771	SAMN03651514
SRR2015770	SAMN03651513
SRR2015779	SAMN03651520
SRR2015768	SAMN03651511
SRR2015769	SAMN03651512
SRR2015778	SAMN03651519
SRR2015777	SAMN03651518
SRR2071373	SAMN02999545
SRR2071374	SAMN02999546
SRR2071376	SAMN02999548
SRR2071372	SAMN02999544
SRR2071375	SAMN02999547
SRR1424705	SAMN02866094
SRR1424692	SAMN02866100
SRR1424695	SAMN02866102
SRR1424703	SAMN02866098
SRR1424706	SAMN02866097
SRR1424697	SAMN02866095
SRR1521376	SAMN02928513
SRR1521379	SAMN02928516
SRR1521374	SAMN02928511
SRR1521412	SAMN02928519
SRR1521413	SAMN02928520
SRR1521375	SAMN02928512
SRR1521377	SAMN02928514
SRR3438730	SAMN04901213
SRR3438729	SAMN04901212
SRR3438737	SAMN04901218
ERR1363345	SAMEA3931529
ERR1363336	SAMEA3931520
SRR3233973	SAMN04565572
SRR3233963	SAMN04565543
SRR3233998	SAMN04565548
SRR3233988	SAMN04565587
SRR3233953	SAMN04565533
SRR3233958	SAMN04565538
SRR934856	SAMN02251186
SRR934822	SAMN02251187
SRR934744	SAMN02251194
SRR934813	SAMN02251191
SRR934747	SAMN02251190
SRR2015774	SAMN03651507
SRR2015761	SAMN03651502
SRR2015765	SAMN03651508
SRR2015764	SAMN03651505
SRR2015760	SAMN03651501
SRR2015763	SAMN03651504
SRR2015766	SAMN03651509
SRR2015762	SAMN03651503
SRR1521397	SAMN02928474
SRR1521395	SAMN02928472
SRR1521393	SAMN02928470
SRR1521398	SAMN02928475
SRR1521394	SAMN02928471
SRR1521392	SAMN02928469
SRR1521396	SAMN02928473
SRR2071346	SAMN02999518
SRR2071351	SAMN02999523
SRR2071345	SAMN02731373
SRR2071350	SAMN02999522
SRR3749336	SAMN05364494
SRR934802	SAMN02251161
SRR934838	SAMN02251163
SRR934888	SAMN02251158
SRR934915	SAMN02251151
SRR934836	SAMN02251153
SRR4407843	SAMN05891412
SRR4407832	SAMN05891411
SRR4407845	SAMN05891413
SRR4407847	SAMN05891415
SRR4407798	SAMN05891407
SRR3477480	SAMN04941008
SRR3477513	SAMN04941038
SRR3477464	SAMN04940994
SRR3477463	SAMN04940993
SRR3477523	SAMN04941047
SRR3477522	SAMN04941046
SRR3477481	SAMN04941009
SRR1521369	SAMN02928506
SRR1521366	SAMN02928503
SRR1521368	SAMN02928505
SRR1521373	SAMN02928510
SRR1521364	SAMN02928501
SRR1521367	SAMN02928504
SRR1521371	SAMN02928508
SRR1521365	SAMN02928502
SRR1521372	SAMN02928509
SRR934733	SAMN02251246
SRR934874	SAMN02251244
SRR934860	SAMN02251247
SRR934861	SAMN02251245
SRR934881	SAMN02251239
SRR934883	SAMN02251243
SRR1004299	SAMN02369574
SRR1004303	SAMN02369576
SRR1004305	SAMN02369577
SRR3438679	SAMN04901089
SRR3438682	SAMN04901092
SRR3438691	SAMN04901097
SRR3438684	SAMN04901094
SRR3438683	SAMN04901093
SRR3438681	SAMN04901091
SRR3438678	SAMN04901088
SRR3438677	SAMN04901087
SRR3438680	SAMN04901090
SRR3438690	SAMN04901096
SRR934756	SAMN02251278
SRR934731	SAMN02251271
SRR934759	SAMN02251277
SRR934723	SAMN02251275
SRR3438791	SAMN04901033
SRR3438741	SAMN04901043
SRR3438800	SAMN04901042
SRR3438792	SAMN04901034
SRR3438799	SAMN04901041
SRR3438742	SAMN04901044
SRR3438793	SAMN04901035
SRR3438794	SAMN04901036
SRR3438798	SAMN04901040
SRR3438790	SAMN04901032
SRR1047847	SAMN02441945
SRR1047817	SAMN02441946
SRR934867	SAMN02251228
SRR934877	SAMN02251230
SRR934875	SAMN02251234
SRR934873	SAMN02251231
SRR934863	SAMN02251238
SRR3438751	SAMN04901053
SRR3438745	SAMN04901047
SRR3438749	SAMN04901051
SRR3438759	SAMN04901061
SRR3438758	SAMN04901060
SRR3438756	SAMN04901058
SRR3438754	SAMN04901056
SRR3438753	SAMN04901055
SRR3438746	SAMN04901048
SRR3438760	SAMN04901062
SRR332171	SAMN00710334
SRR2015780	SAMN03651521
SRR2015781	SAMN03651522
SRR2015714	SAMN03651528
SRR2015722	SAMN03651536
SRR2015782	SAMN03651523
SRR2015784	SAMN03651525
SRR2015785	SAMN03651526
SRR2015725	SAMN03651539
SRR2015783	SAMN03651524
SRR2015715	SAMN03651529
SRR5361432	SAMN06621760
SRR5361437	SAMN06621755
SRR5361435	SAMN06621757
SRR5361434	SAMN06621758
SRR5361430	SAMN06621762
SRR5361436	SAMN06621756
SRR5361431	SAMN06621761
SRR5361433	SAMN06621759
SRR5361428	SAMN06621764
SRR3438676	SAMN04901086
SRR3438669	SAMN04901079
SRR3438668	SAMN04901078
SRR3438673	SAMN04901083
SRR3438667	SAMN04901077
SRR3438675	SAMN04901085
SRR3438670	SAMN04901080
SRR3438665	SAMN04901075
SRR3438666	SAMN04901076
SRR3438671	SAMN04901081
SRR2815966	SAMN04209682
SRR2815962	SAMN04209678
SRR2815960	SAMN04209676
SRR2815957	SAMN04209673
SRR2816109	SAMN04209756
SRR2816108	SAMN04209755
SRR2816104	SAMN04209751
SRR2816107	SAMN04209754
SRR2816099	SAMN04209746
SRR3438770	SAMN04901072
SRR3438767	SAMN04901069
SRR3438764	SAMN04901066
SRR3438766	SAMN04901068
SRR3438763	SAMN04901065
SRR3438768	SAMN04901070
SRR3438765	SAMN04901067
SRR3438664	SAMN04901074
SRR3438663	SAMN04901073
SRR3438769	SAMN04901071
SRR1222686	SAMN02721534
SRR934897	SAMN02251178
SRR934850	SAMN02251185
SRR934844	SAMN02251180
SRR934840	SAMN02251184
SRR934817	SAMN02251176
SRR934841	SAMN02251177
SRR934853	SAMN02251181
SRR934819	SAMN02251183
SRR786626	SAMN01983968
SRR786627	SAMN01983969
SRR786625	SAMN01983967
SRR1487194	GTEX-13S7M
SRR1081741	GTEX-X585
SRR1421177	GTEX-132Q8
SRR1434484	GTEX-13FHO
SRR1471943	GTEX-145MH
SRR1102055	GTEX-X585
SRR1432275	GTEX-ZZPT
SRR1457503	GTEX-14753
SRR1343841	GTEX-12WSM
SRR1453851	GTEX-ZVZQ
SRR1490019	GTEX-131YS
SRR1335400	GTEX-11ZUS
SRR1433796	GTEX-12WS9
SRR661349	GTEX-S7SE
SRR1437306	GTEX-139TT
SRR817832	GTEX-WHSE
SRR1414595	GTEX-13NYS
SRR1373858	GTEX-11DXY
SRR1485459	GTEX-ZF28
SRR602516	GTEX-NL3H
SRR1360104	GTEX-13SLW
SRR664854	GTEX-QDT8
SRR1500868	GTEX-11WQC
SRR1488672	GTEX-12ZZZ
SRR1360128	GTEX-11WQK
SRR657754	GTEX-QMR6
SRR1310008	GTEX-11NUK
SRR1340508	GTEX-145MG
SRR607337	GTEX-OXRN
SRR601669	GTEX-NPJ8
SRR1404640	GTEX-111FC
SRR1355150	GTEX-11WQK
SRR602314	GTEX-NPJ7
SRR1387809	GTEX-ZAB4
SRR1435484	GTEX-13PL6
SRR1353221	GTEX-11ZTS
SRR604262	GTEX-OXRO
SRR821626	GTEX-WZTO
SRR627449	GTEX-NPJ8
SRR1361567	GTEX-ZVT3
SRR614310	GTEX-RNOR
SRR1336292	GTEX-ZF28
SRR1434526	GTEX-13OVL
SRR654874	GTEX-QVUS
SRR1454803	GTEX-13NYS
SRR1471817	GTEX-12WSD
SRR1489137	GTEX-13NYC
SRR615838	GTEX-QVJO
SRR1348360	GTEX-12WSH
SRR1323106	GTEX-N7MS
SRR1409305	GTEX-13FLV
SRR1355040	GTEX-131YS
SRR1320280	GTEX-13O3O
SRR1077405	GTEX-X4XY
SRR1336660	GTEX-13X6K
SRR657777	GTEX-P44H
SRR1486475	GTEX-1477Z
SRR1417047	GTEX-Z93S
SRR1439873	GTEX-12ZZZ
SRR1481216	GTEX-13VXU
SRR1489502	GTEX-ZAJG
SRR662233	GTEX-T6MN
SRR1323746	GTEX-13OVH
SRR601006	GTEX-PWO3
SRR1474777	GTEX-13FXS
SRR818033	GTEX-WWYW
SRR660945	GTEX-UTHO
SRR1316297	GTEX-13112
SRR1433088	GTEX-11NV4
SRR1331579	GTEX-13N2G
SRR1440962	GTEX-ZVT3
SRR1361674	GTEX-12WSD
SRR1382956	GTEX-13PLJ
SRR1328895	GTEX-YFC4
SRR1480988	GTEX-145MF
SRR1396640	GTEX-13OW7
SRR1413522	GTEX-13IVO
SRR1315019	GTEX-145MI
SRR1364676	GTEX-13FHO
SRR1477080	GTEX-145MG
SRR1326179	GTEX-13X6K
SRR602927	GTEX-Q2AG
SRR1314163	GTEX-13QJC
SRR1324371	GTEX-13O3Q
SRR1357523	GTEX-13VXU
SRR662534	GTEX-T5JC
SRR660933	GTEX-T6MN
SRR1338219	GTEX-132Q8
SRR1470175	GTEX-13FXS
SRR656745	GTEX-UTHO
SRR1408208	GTEX-13O3Q
SRR1414897	GTEX-13NYB
SRR1436394	GTEX-Z93S
SRR1354446	GTEX-1313W
SRR1333741	GTEX-Z93S
SRR1335446	GTEX-OHPN
SRR1341702	GTEX-13JVG
SRR820078	GTEX-WZTO
SRR1389979	GTEX-YJ89
SRR1455925	GTEX-12WSE
SRR1488715	GTEX-13OW5
SRR1415234	GTEX-ZE7O
SRR1072367	GTEX-XMD1
SRR1349056	GTEX-RNOR
SRR1073143	GTEX-X585
SRR1440986	GTEX-13OW6
SRR1341763	GTEX-ZUA1
SRR660626	GTEX-T2IS
SRR1469904	GTEX-YFC4
SRR1459441	GTEX-145MH
SRR1387178	GTEX-13X6I
SRR1437538	GTEX-13O3O
SRR1498550	GTEX-145MI
SRR1332796	GTEX-11GSO
SRR1474553	GTEX-Y8DK
SRR1445149	GTEX-13FHP
SRR814989	GTEX-WL46
SRR1487685	GTEX-13OVJ
SRR1487321	GTEX-13OVH
SRR1439807	GTEX-Y111
SRR1433431	GTEX-13QIC
SRR1379238	GTEX-11EI6
SRR1339651	GTEX-13X6K
SRR595926	GTEX-N7MS
SRR1405485	GTEX-13OW8
SRR812436	GTEX-WL46
SRR1381889	GTEX-ZUA1
SRR1464373	GTEX-12WSM
SRR1499193	GTEX-12WSD
SRR600608	GTEX-NL3H
SRR1433971	GTEX-1313W
SRR1416434	GTEX-14ASI
SRR1473733	GTEX-12WSF
SRR1435020	GTEX-147GR
SRR608662	GTEX-OHPN
SRR1418127	GTEX-13FTZ
SRR1353176	GTEX-12ZZX
SRR1459804	GTEX-13SLX
SRR1480059	GTEX-Y8DK
SRR1331335	GTEX-14A5I
SRR1466871	GTEX-13N2G
SRR1488651	GTEX-131XW
SRR1318163	GTEX-13G51
SRR1084842	GTEX-WZTO
SRR1453702	GTEX-12WSH
SRR1471350	GTEX-12ZZX
SRR1432123	GTEX-13QIC
SRR1387264	GTEX-13X6I
SRR1327593	GTEX-12126
SRR1341365	GTEX-13FLW
SRR1315866	GTEX-13PVQ
SRR1084649	GTEX-X261
SRR1356619	GTEX-14BIL
SRR1375976	GTEX-13X6J
SRR1334564	GTEX-ZUA1
SRR1478768	GTEX-13G51
SRR1417827	GTEX-ZF28
SRR1453145	GTEX-13RTJ
SRR1333930	GTEX-12ZZY
SRR658129	GTEX-PVOW
SRR1416999	GTEX-ZDXO
SRR657683	GTEX-QVUS
SRR1383059	GTEX-11GSP
SRR1336158	GTEX-ZVZQ
SRR613627	GTEX-NPJ8
SRR1420984	GTEX-ZAB4
SRR600385	GTEX-PWO3
SRR661973	GTEX-QDT8
SRR600361	GTEX-N7MT
SRR1498861	GTEX-ZYY3
SRR816770	GTEX-WHSE
SRR1359630	GTEX-1192X
SRR1440058	GTEX-P44H
SRR1468955	GTEX-13OW7
SRR1354734	GTEX-12ZZW
SRR1418837	GTEX-13OW8
SRR1375571	GTEX-12126
SRR814967	GTEX-WVLH
SRR602728	GTEX-Q2AG
SRR1388378	GTEX-13S7M
SRR1341387	GTEX-13JUV
SRR808614	GTEX-X4XX
SRR604026	GTEX-NPJ7
SRR1342045	GTEX-11ZUS
SRR1314958	GTEX-131XW
SRR1382732	GTEX-N7MT
SRR1480652	GTEX-13OVJ
SRR1356444	GTEX-13SLW
SRR1485542	GTEX-13CF2
SRR1444460	GTEX-1117F
SRR659555	GTEX-QMR6
SRR810319	GTEX-WWYW
SRR1085495	GTEX-X4XX
SRR1474509	GTEX-1313W
SRR1367943	GTEX-13X6J
SRR1500753	GTEX-145MH
SRR1416754	GTEX-13NZA
SRR1311086	GTEX-11GSO
SRR1317344	GTEX-12ZZX
SRR1480365	GTEX-13O3O
SRR1447259	GTEX-11UD1
SRR1337864	GTEX-13QIC
SRR1399051	GTEX-13NYS
SRR1465632	GTEX-117YW
SRR1337098	GTEX-131YS
SRR1486097	GTEX-145MG
SRR604456	GTEX-NL4W
SRR1378841	GTEX-13IVO
SRR1328487	GTEX-13OVJ
SRR1442571	GTEX-13FLV
SRR1487362	GTEX-X4EP
SRR1352954	GTEX-11TTK
SRR1311575	GTEX-11EMC
SRR1452292	GTEX-13FLW
SRR1418992	GTEX-ZYFD
SRR1468514	GTEX-13FHO
SRR663753	GTEX-PVOW
SRR1408368	GTEX-12ZZW
SRR602704	GTEX-Q2AG
SRR1317877	GTEX-13X6J
SRR1457482	GTEX-13JUV
SRR659602	GTEX-QDT8
SRR820623	GTEX-N7MS
SRR1343481	GTEX-13OW8
SRR1354910	GTEX-13CZV
SRR1390601	GTEX-131XH
SRR659235	GTEX-T2IS
SRR1368772	GTEX-12ZZY
SRR1476571	GTEX-ZV68
SRR663320	GTEX-TSE9
SRR1413562	GTEX-11GSP
SRR1381673	GTEX-1477Z
SRR1350456	GTEX-13O3Q
SRR1357478	GTEX-13SLX
SRR1464451	GTEX-11PRG
SRR1337564	GTEX-13NYB
SRR658307	GTEX-QVUS
SRR1315269	GTEX-147GR
SRR1316940	GTEX-12WSA
SRR1396078	GTEX-12WSA
SRR1386708	GTEX-13RTJ
SRR1391922	GTEX-ZVT3
SRR1360563	GTEX-14BIN
SRR1316392	GTEX-13PVQ
SRR1395834	GTEX-Y8DK
SRR1466993	GTEX-YJ89
SRR1085850	GTEX-X4XX
SRR1441546	GTEX-ZE7O
SRR1453341	GTEX-13CZV
SRR657635	GTEX-TSE9
SRR1316624	GTEX-12ZZW
SRR818210	GTEX-WL46
SRR1391769	GTEX-14BMV
SRR1362219	GTEX-YFC4
SRR1335707	GTEX-12WS9
SRR1444580	GTEX-13OW6
SRR1452379	GTEX-14BIM
SRR810877	GTEX-WVLH
SRR1315970	GTEX-14ASI
SRR1416477	GTEX-12WSF
SRR1459718	GTEX-131XH
SRR657127	GTEX-UTHO
SRR1078347	GTEX-XMD1
SRR1341277	GTEX-ZDXO
SRR1337412	GTEX-13JVG
SRR1311400	GTEX-117XS
SRR1447693	GTEX-ZDXO
SRR1323174	GTEX-13OW7
SRR1431307	GTEX-13OVL
SRR1320963	GTEX-147F4
SRR602365	GTEX-N7MT
SRR1470703	GTEX-YJ89
SRR1337648	GTEX-13CIG
SRR1359171	GTEX-13JVG
SRR1336548	GTEX-13IVO
SRR1323043	GTEX-1128S
SRR1370240	GTEX-11ZVC
SRR1388480	GTEX-12WS9
SRR1405007	GTEX-12ZZZ
SRR1311794	GTEX-11GS4
SRR1444678	GTEX-ZXG5
SRR601755	GTEX-OHPN
SRR812012	GTEX-T5JC
SRR1331751	GTEX-13S7M
11417_TCX	11417
813_TCX	813
11443_TCX	11443
11309_TCX	11309
11483_TCX	11483
11403_TCX	11403
1952_TCX	1952
797_TCX	797
1943_TCX	1943
11497_TCX	11497
11429_TCX	11429
11395_TCX	11395
11334_TCX	11334
11329_TCX	11329
787_TCX	787
1951_TCX	1951
6870_TCX	6870
834_TCX	834
886_TCX	886
1924_TCX	1924
11290_TCX	11290
11397_TCX	11397
11383_TCX	11383
11358_TCX	11358
11494_TCX	11494
11486_TCX	11486
1955_TCX	1955
11337_TCX	11337
744_TCX	744
1944_TCX	1944
1926_TCX	1926
1119_TCX	1119
1010_TCX	1010
1121_TCX	1121
946_TCX	946
732_TCX	732
850_TCX	850
11412_TCX	11412
11267_TCX	11267
933_TCX	933
859_TCX	859
11300_TCX	11300
1172_TCX	1172
11480_TCX	11480
896_TCX	896
11398_TCX	11398
11255_TCX	11255
871_TCX	871
6894_TCX	6894
828_TCX	828
11338_TCX	11338
1089_TCX	1089
775_TCX	775
1195_TCX	1195
11471_TCX	11471
6925_TCX	6925
1929_TCX	1929
11424_TCX	11424
1034_TCX	1034
1098_TCX	1098
11440_TCX	11440
981_TCX	981
11426_TCX	11426
11481_TCX	11481
11322_TCX	11322
11410_TCX	11410
11408_TCX	11408
1956_TCX	1956
134_TCX	134
1047_TCX	1047
1945_TCX	1945
777_TCX	777
6821_TCX	6821
1137_TCX	1137
1963_TCX	1963
141_TCX	141
751_TCX	751
851_TCX	851
11452_TCX	11452
11456_TCX	11456
1114_TCX	1114
11505_TCX	11505
11492_TCX	11492
6914_TCX	6914
11449_TCX	11449
11319_TCX	11319
11460_TCX	11460
11271_TCX	11271
11495_TCX	11495
11468_TCX	11468
11307_TCX	11307
11370_TCX	11370
11281_TCX	11281
11493_TCX	11493
11377_TCX	11377
7000_TCX	7000
11333_TCX	11333
11327_TCX	11327
6863_TCX	6863
1936_TCX	1936
1239_TCX	1239
11254_TCX	11254
11469_TCX	11469
11423_TCX	11423
966_TCX	966
1942_TCX	1942
1935_TCX	1935
11489_TCX	11489
812_TCX	812
1045_TCX	1045
6880_TCX	6880
11345_TCX	11345
1931_TCX	1931
766_TCX	766
1960_TCX	1960
1015_TCX	1015
6976_TCX	6976
11474_TCX	11474
11463_TCX	11463
11276_TCX	11276
11317_TCX	11317
816_TCX	816
731_TCX	731
142_TCX	142
11400_TCX	11400
11349_TCX	11349
11394_TCX	11394
11253_TCX	11253
11344_TCX	11344
11353_TCX	11353
11265_TCX	11265
11447_TCX	11447
1052_TCX	1052
11295_TCX	11295
11266_TCX	11266
11472_TCX	11472
11385_TCX	11385
11341_TCX	11341
11306_TCX	11306
7015_TCX	7015
11291_TCX	11291
11491_TCX	11491
786_TCX	786
1941_TCX	1941
11500_TCX	11500
1964_TCX	1964
736_TCX	736
11355_TCX	11355
11346_TCX	11346
11374_TCX	11374
1078_TCX	1078
11321_TCX	11321
11393_TCX	11393
11457_TCX	11457
6819_TCX	6819
11372_TCX	11372
11428_TCX	11428
11425_TCX	11425
1103_TCX	1103
1200_TCX	1200
11433_TCX	11433
1275_TCX	1275
11498_TCX	11498
1129_TCX	1129
952_TCX	952
11445_TCX	11445
1940_TCX	1940
11313_TCX	11313
11448_TCX	11448
1214_TCX	1214
1036_TCX	1036
135_TCX	135
1937_TCX	1937
11275_TCX	11275
149_TCX	149
892_TCX	892
11399_TCX	11399
11323_TCX	11323
11402_TCX	11402
11464_TCX	11464
948_TCX	948
1019_TCX	1019
11357_TCX	11357
894_TCX	894
129_TCX	129
11258_TCX	11258
6913_TCX	6913
742_TCX	742
11371_TCX	11371
991_TCX	991
6872_TCX	6872
11422_TCX	11422
11470_TCX	11470
11288_TCX	11288
11264_TCX	11264
11391_TCX	11391
11389_TCX	11389
11396_TCX	11396
11320_TCX	11320
1058_TCX	1058
11279_TCX	11279
1123_TCX	1123
11331_TCX	11331
11325_TCX	11325
11427_TCX	11427
962_TCX	962
1005_TCX	1005
11507_TCX	11507
1183_TCX	1183
1046_TCX	1046
11259_TCX	11259
11476_TCX	11476
1302_TCX	1302
1085_TCX	1085
11330_TCX	11330
791_TCX	791
11312_TCX	11312
1932_TCX	1932
6929_TCX	6929
11287_TCX	11287
11499_TCX	11499
11314_TCX	11314
11303_TCX	11303
11263_TCX	11263
1919_TCX	1919
11482_TCX	11482
7016_TCX	7016
1104_TCX	1104
6952_TCX	6952
11465_TCX	11465
11298_TCX	11298
11506_TCX	11506
11285_TCX	11285
11294_TCX	11294
976_TCX	976
746_TCX	746
11430_TCX	11430
11502_TCX	11502
11305_TCX	11305
6810_TCX	6810
11328_TCX	11328
1029_TCX	1029
7099_TCX	7099
783_TCX	783
11340_TCX	11340
11485_TCX	11485
11316_TCX	11316
11404_TCX	11404
11249_TCX	11249
11431_TCX	11431
11381_TCX	11381
1166_TCX	1166
1105_TCX	1105
1933_TCX	1933
hB_RNA_12994	71789
hB_RNA_9125	71755
hB_RNA_7665	71912
BM_10_623	71775
hB_RNA_13058	68658
hB_RNA_16325	68424
hB_RNA_13351	71805
hB_RNA_16185	71863
hB_RNA_16375	71887
BM_36_370	71698
BM_22_124	71981
hB_RNA_8875	68622
BM_10_738	71813
BM_22_47	71737
hB_RNA_10372	71898
hB_RNA_8555	68422
hB_RNA_13525	71773
hB_RNA_9228	71972
BM_22_102	71839
hB_RNA_4565	71797
BM_36_432	71673
BM_22_148	71723
hB_RNA_9025	71995
BM_10_748	71927
BM_22_37	71757
hB_RNA_13134	71794
hB_RNA_12514	71983
BM_36_372	71722
hB_RNA_9157	71973
hB_RNA_12222	71947
BM_10_630	71951
BM_22_111	71968
hB_RNA_8885	71881
hB_RNA_12434	71825
hB_RNA_8915	68637
BM_22_18	71977
BM_36_376	68427
hB_RNA_16275	71831
hB_RNA_12865	71986
hB_RNA_8745	71804
BM_36_399	71909
hB_RNA_8075	71751
BM_22_269	68682
hB_RNA_4351	71728
BM_36_538	71969
hB_RNA_10567	71826
hB_RNA_10272	71895
BM_36_440	70475
hB_RNA_10672	68622
hB_RNA_12352	71917
BM_22_76	71896
hB_RNA_13102	68422
hB_RNA_17085	71836
hB_RNA_12804	71956
hB_RNA_9214	70490
BM_22_6	71944
hB_RNA_9150	71741
BM_36_483	71846
BM_22_255	71739
hB_RNA_13132	71833
hB_RNA_4301	71755
hB_RNA_8905	71733
hB_RNA_11023	71934
BM_10_600	71792
BM_36_449	71987
BM_22_117	71729
BM_10_670	71689
hB_RNA_10402	68658
BM_22_172	70568
hB_RNA_16105	71928
BM_22_15	71909
hB_RNA_17155	71702
hB_RNA_9212	71838
BM_10_714	71747
hB_RNA_9176	71882
BM_10_589	71937
BM_10_719	71916
BM_36_543	71803
hB_RNA_16685	71851
BM_10_692	71996
hB_RNA_10452	71952
BM_36_465	71679
hB_RNA_13655	71814
BM_36_317	71715
BM_22_175	71960
hB_RNA_10712	71720
hB_RNA_16435	71708
hB_RNA_9138	71907
hB_RNA_13512	71858
hB_RNA_16655	71965
hB_RNA_12615	71903
hB_RNA_12852	71912
hB_RNA_9170	71778
BM_36_308	71787
hB_RNA_7745	71993
BM_22_166	71886
BM_22_199	68433
BM_10_551	71803
hB_RNA_9155	71969
hB_RNA_16825	71803
hB_RNA_12545	71685
hB_RNA_10482	71918
hB_RNA_4403	71741
hB_RNA_4531	71784
hB_RNA_13018	71811
hB_RNA_16605	71911
hB_RNA_16795	71753
hB_RNA_16985	71850
BM_36_450	71933
BM_22_66	71689
BM_36_429	71879
BM_36_348	71742
hB_RNA_16975	71839
hB_RNA_16835	71799
hB_RNA_16785	71735
hB_RNA_10652	71922
BM_36_545	71684
hB_RNA_10332	71733
hB_RNA_9137	70640
hB_RNA_8325	71936
BM_10_807	68455
BM_10_797	71904
hB_RNA_10962	71793
BM_10_731	71735
BM_36_410	71704
hB_RNA_4674	71834
BM_10_666	71783
hB_RNA_16065	68454
hB_RNA_16515	71961
hB_RNA_17035	71716
hB_RNA_10617	71881
hB_RNA_5051	71963
BM_10_572	71737
hB_RNA_16115	71937
BM_10_787	71716
BM_22_110	71746
BM_10_753	71945
hB_RNA_8455	71727
BM_22_88	71924
hB_RNA_7845	71857
BM_22_72	71792
BM_22_89	71863
BM_10_758	71769
hB_RNA_17095	71697
hB_RNA_16195	71971
hB_RNA_4827	71882
hB_RNA_9085	70490
BM_36_327	71782
hB_RNA_16145	71677
BM_10_643	71938
hB_RNA_12582	71930
hB_RNA_8115	71811
BM_10_732	71723
hB_RNA_12242	71939
BM_10_720	71690
hB_RNA_8545	71930
BM_10_680	71757
hB_RNA_13048	71959
BM_36_378	71992
hB_RNA_10292	71952
hB_RNA_16775	71899
hB_RNA_10952	71984
BM_36_400	71923
hB_RNA_10462	71795
hB_RNA_10682	71901
hB_RNA_7875	71947
BM_36_425	71836
hB_RNA_10802	71724
BM_22_165	71951
BM_36_505	71819
hB_RNA_8055	71936
hB_RNA_12784	71771
hB_RNA_12322	71964
hB_RNA_13542	71885
hB_RNA_16765	71942
hB_RNA_12662	71816
BM_10_707	71848
hB_RNA_8945	71752
hB_RNA_12171	68637
BM_36_386	71750
BM_22_49	71705
hB_RNA_10282	71795
BM_10_800	70665
hB_RNA_16915	71924
hB_RNA_20672	71739
hB_RNA_8345	71956
hB_RNA_13158	71857
hB_RNA_12504	71922
hB_RNA_7725	71984
