0_MSSM_398	MSSM_RNA_PFC_398
0_MSSM_BP_9	MSSM_RNA_BP_PFC_9
0_Pitt_BP_1293	PITT_RNA_BP_PFC_1293
0_MSSM_BP_6	MSSM_RNA_BP_PFC_6
0_MSSM_360	MSSM_RNA_PFC_360
0_MSSM_BP_5	MSSM_RNA_BP_PFC_5
0_Pitt_BP_1298	PITT_RNA_BP_PFC_1298
0_MSSM_BP_7	MSSM_RNA_BP_PFC_7
0_MSSM_BP_2	MSSM_RNA_BP_PFC_2
0_MSSM_BP_4	MSSM_RNA_BP_PFC_4
0_MSSM_357	MSSM_RNA_PFC_357
0_MSSM_356	MSSM_RNA_PFC_356
0_MSSM_359	MSSM_RNA_PFC_359
0_MSSM_358	MSSM_RNA_PFC_358
0_MSSM_352	MSSM_RNA_PFC_352
0_MSSM_371	MSSM_RNA_PFC_371
0_MSSM_368	MSSM_RNA_PFC_368
0_MSSM_367	MSSM_RNA_PFC_367
0_MSSM_364	MSSM_RNA_PFC_364
0_MSSM_381	MSSM_RNA_PFC_381
0_MSSM_383	MSSM_RNA_PFC_383
0_MSSM_380	MSSM_RNA_PFC_380
0_MSSM_377	MSSM_RNA_PFC_377
0_MSSM_376	MSSM_RNA_PFC_376
0_MSSM_392	MSSM_RNA_PFC_392
0_MSSM_394	MSSM_RNA_PFC_394
0_MSSM_391	MSSM_RNA_PFC_391
0_MSSM_390	MSSM_RNA_PFC_390
0_MSSM_389	MSSM_RNA_PFC_389
0_MSSM_388	MSSM_RNA_PFC_388
0_PITT_1209	PITT_RNA_PFC_1209
0_PITT_1211	PITT_RNA_PFC_1211
0_PITT_1201	PITT_RNA_PFC_1201
0_PITT_857	PITT_RNA_PFC_857
0_Pitt_BP_1207	PITT_RNA_BP_PFC_1207
0_MSSM_7	MSSM_RNA_PFC_7
0_MSSM_2	MSSM_RNA_PFC_2
0_MSSM_3	MSSM_RNA_PFC_3
0_MSSM_1	MSSM_RNA_PFC_1
0_Pitt_BP_1244	PITT_RNA_BP_PFC_1244
0_MSSM_8	MSSM_RNA_PFC_8
0_MSSM_9	MSSM_RNA_PFC_9
0_PITT_10026	PITT_RNA_PFC_10026
0_PITT_10020	PITT_RNA_PFC_10020
0_PITT_802	PITT_RNA_PFC_802
0_PITT_806	PITT_RNA_PFC_806
0_PITT_1284	PITT_RNA_PFC_1284
0_PITT_1282	PITT_RNA_BP_PFC_1282
0_PITT_1270	PITT_RNA_PFC_1270
0_PITT_10005	PITT_RNA_PFC_10005
0_PITT_10003	PITT_RNA_BP_PFC_10003
0_PITT_1256	PITT_RNA_PFC_1256
0_PITT_852	PITT_RNA_PFC_852
0_PITT_1247	PITT_RNA_BP_PFC_1247
0_PITT_818	PITT_RNA_PFC_818
0_PITT_1230	PITT_RNA_PFC_1230
0_PITT_1222	PITT_RNA_PFC_1222
0_PITT_829	PITT_RNA_PFC_829
0_PITT_1579	PITT_RNA_PFC_1579
0_Pitt_BP_1394	PITT_RNA_BP_PFC_1394
0_PITT_1558	PITT_RNA_PFC_1558
0_PITT_1555	PITT_RNA_PFC_1555
0_PITT_1554	PITT_RNA_PFC_1554
0_PITT_988	PITT_RNA_PFC_988
0_PITT_987	PITT_RNA_PFC_987
0_PITT_1543	PITT_RNA_PFC_1543
0_PITT_1542	PITT_RNA_PFC_1542
0_Pitt_BP_1328	PITT_RNA_BP_PFC_1328
0_PITT_1518	PITT_RNA_PFC_1518
0_PITT_1524	PITT_RNA_PFC_1524
0_PITT_1506	PITT_RNA_PFC_1506
0_MSSM_79	MSSM_RNA_PFC_79
0_PITT_917	PITT_RNA_PFC_917
0_MSSM_66	MSSM_RNA_PFC_66
0_MSSM_67	MSSM_RNA_PFC_67
0_MSSM_69	MSSM_RNA_PFC_69
0_MSSM_62	MSSM_RNA_PFC_62
0_MSSM_63	MSSM_RNA_PFC_63
0_MSSM_64	MSSM_RNA_PFC_64
0_MSSM_65	MSSM_RNA_PFC_65
0_MSSM_60	MSSM_RNA_PFC_60
0_MSSM_61	MSSM_RNA_PFC_61
0_MSSM_59	MSSM_RNA_PFC_59
0_MSSM_56	MSSM_RNA_PFC_56
0_MSSM_57	MSSM_RNA_PFC_57
0_MSSM_52	MSSM_RNA_PFC_52
0_MSSM_53	MSSM_RNA_PFC_53
0_MSSM_50	MSSM_RNA_PFC_50
0_MSSM_48	MSSM_RNA_PFC_48
0_MSSM_44	MSSM_RNA_PFC_44
0_MSSM_45	MSSM_RNA_PFC_45
0_MSSM_46	MSSM_RNA_PFC_46
0_MSSM_47	MSSM_RNA_PFC_47
0_MSSM_40	MSSM_RNA_PFC_40
0_MSSM_41	MSSM_RNA_PFC_41
0_MSSM_42	MSSM_RNA_PFC_42
0_MSSM_43	MSSM_RNA_PFC_43
0_PITT_904	PITT_RNA_PFC_904
0_PITT_902	PITT_RNA_PFC_902
0_MSSM_38	MSSM_RNA_PFC_38
0_MSSM_39	MSSM_RNA_PFC_39
0_MSSM_33	MSSM_RNA_PFC_33
0_MSSM_34	MSSM_RNA_PFC_34
