RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
171_120423	SM-CJIX4	AMP-AD	ROS	AMPAD-ROSMAP-V2
344_120501	SM-CJGH1	AMP-AD	MAP	AMPAD-ROSMAP-V2
847_130830	SM-CTEEY	AMP-AD	MAP	AMPAD-ROSMAP-V2
24_120411	SM-CJGHJ	AMP-AD	ROS	AMPAD-ROSMAP-V2
269_120430	SM-CJGLU	AMP-AD	ROS	AMPAD-ROSMAP-V2
228_120425	SM-CJK4X	AMP-AD	MAP	AMPAD-ROSMAP-V2
196_120424	SM-CJEJ6	AMP-AD	MAP	AMPAD-ROSMAP-V2
70_120417	SM-CJGH7	AMP-AD	ROS	AMPAD-ROSMAP-V2
336_120501	SM-CTEDS	AMP-AD	ROS	AMPAD-ROSMAP-V2
391_120503	SM-CJGM9	AMP-AD	MAP	AMPAD-ROSMAP-V2
51_120416	SM-CJGGT	AMP-AD	ROS	AMPAD-ROSMAP-V2
168_120423	SM-CJJ1K	AMP-AD	ROS	AMPAD-ROSMAP-V2
289_120430	SM-CJGI5	AMP-AD	ROS	AMPAD-ROSMAP-V2
150_120419	SM-CTDU4	AMP-AD	ROS	AMPAD-ROSMAP-V2
485_120515	SM-CTDQZ	AMP-AD	MAP	AMPAD-ROSMAP-V2
702_120605	SM-CTEFA	AMP-AD	ROS	AMPAD-ROSMAP-V2
180_120424	SM-CTELS	AMP-AD	ROS	AMPAD-ROSMAP-V2
721_120531	SM-CJJ2T	AMP-AD	ROS	AMPAD-ROSMAP-V2
141_120419	SM-CJGGN	AMP-AD	ROS	AMPAD-ROSMAP-V2
221_120425	SM-CJIYW	AMP-AD	MAP	AMPAD-ROSMAP-V2
583_120522	SM-CJIZO	AMP-AD	MAP	AMPAD-ROSMAP-V2
826_130725	SM-CJIZV	AMP-AD	MAP	AMPAD-ROSMAP-V2
722_120531	SM-CJFMV	AMP-AD	ROS	AMPAD-ROSMAP-V2
05_120405	SM-CJIXW	AMP-AD	ROS	AMPAD-ROSMAP-V2
306_120430	SM-CJGIY	AMP-AD	MAP	AMPAD-ROSMAP-V2
229_120425	SM-CJEHD	AMP-AD	ROS	AMPAD-ROSMAP-V2
769_130523	SM-CJJ2D	AMP-AD	MAP	AMPAD-ROSMAP-V2
54_120417	SM-CJK3L	AMP-AD	ROS	AMPAD-ROSMAP-V2
538_120516	SM-CJGIG	AMP-AD	MAP	AMPAD-ROSMAP-V2
323_120501	ROS11430815	AMP-AD	ROS	AMPAD-ROSMAP-V2
183_120424	SM-CJGM4	AMP-AD	ROS	AMPAD-ROSMAP-V2
481_120514	SM-CJGJ4	AMP-AD	MAP	AMPAD-ROSMAP-V2
244_120426	SM-CTDQX	AMP-AD	ROS	AMPAD-ROSMAP-V2
687_120604	SM-CTEMK	AMP-AD	MAP	AMPAD-ROSMAP-V2
479_120514	SM-CJJ1L	AMP-AD	MAP	AMPAD-ROSMAP-V2
511_120515	SM-CTDS4	AMP-AD	MAP	AMPAD-ROSMAP-V2
560_120517	SM-CJGN7	AMP-AD	ROS	AMPAD-ROSMAP-V2
335_120501	ROS21112011	AMP-AD	ROS	AMPAD-ROSMAP-V2
643_120524	SM-CJJ32	AMP-AD	ROS	AMPAD-ROSMAP-V2
476_120514	SM-CJIWY	AMP-AD	MAP	AMPAD-ROSMAP-V2
574_120521	SM-CJGH8	AMP-AD	MAP	AMPAD-ROSMAP-V2
674_120530	SM-CJFOI	AMP-AD	MAP	AMPAD-ROSMAP-V2
698_120605	SM-CTEMW	AMP-AD	MAP	AMPAD-ROSMAP-V2
952_131107	SM-CJGML	AMP-AD	MAP	AMPAD-ROSMAP-V2
255_120426	SM-CJK4V	AMP-AD	ROS	AMPAD-ROSMAP-V2
429_120507	SM-CJEH6	AMP-AD	MAP	AMPAD-ROSMAP-V2
653_120529	SM-CJJ38	AMP-AD	MAP	AMPAD-ROSMAP-V2
146_120419	SM-CJK3O	AMP-AD	ROS	AMPAD-ROSMAP-V2
245_120426	SM-CJGIQ	AMP-AD	ROS	AMPAD-ROSMAP-V2
276_120430	SM-CJIXY	AMP-AD	MAP	AMPAD-ROSMAP-V2
414_120503	SM-CJIYH	AMP-AD	ROS	AMPAD-ROSMAP-V2
580_120521	SM-CJGHB	AMP-AD	MAP	AMPAD-ROSMAP-V2
636_120524	SM-CJEGA	AMP-AD	MAP	AMPAD-ROSMAP-V2
33_120416	SM-CTEDC	AMP-AD	ROS	AMPAD-ROSMAP-V2
57_120417	SM-CTEFO	AMP-AD	ROS	AMPAD-ROSMAP-V2
787_130530	SM-CJJ1M	AMP-AD	MAP	AMPAD-ROSMAP-V2
140_120419	SM-CJEIH	AMP-AD	ROS	AMPAD-ROSMAP-V2
237_120426	SM-CJGO3	AMP-AD	ROS	AMPAD-ROSMAP-V2
889_130923	SM-CJK4A	AMP-AD	MAP	AMPAD-ROSMAP-V2
179_120424	SM-CTDRN	AMP-AD	ROS	AMPAD-ROSMAP-V2
810_130702	SM-CJJ2H	AMP-AD	MAP	AMPAD-ROSMAP-V2
321_120501	SM-CTEGO	AMP-AD	ROS	AMPAD-ROSMAP-V2
812_130702	SM-CJJ2B	AMP-AD	ROS	AMPAD-ROSMAP-V2
949_131107	SM-CJEKG	AMP-AD	MAP	AMPAD-ROSMAP-V2
715_120531	SM-CJFON	AMP-AD	ROS	AMPAD-ROSMAP-V2
389_120503	SM-CTDQH	AMP-AD	MAP	AMPAD-ROSMAP-V2
64_120417	SM-CTDTS	AMP-AD	ROS	AMPAD-ROSMAP-V2
339_120501	SM-CTEET	AMP-AD	MAP	AMPAD-ROSMAP-V2
405_120503	MAP46251007	AMP-AD	MAP	AMPAD-ROSMAP-V2
657_120529	SM-CTDT2	AMP-AD	MAP	AMPAD-ROSMAP-V2
671_120530	SM-CJEGB	AMP-AD	ROS	AMPAD-ROSMAP-V2
557_120517	SM-CJK5F	AMP-AD	ROS	AMPAD-ROSMAP-V2
360_120502	SM-CTDTG	AMP-AD	MAP	AMPAD-ROSMAP-V2
190_120424	SM-CTEEZ	AMP-AD	ROS	AMPAD-ROSMAP-V2
53_120417	SM-CJFNB	AMP-AD	MAP	AMPAD-ROSMAP-V2
396_120503	SM-CTDTN	AMP-AD	MAP	AMPAD-ROSMAP-V2
390_120503	SM-CJIYG	AMP-AD	ROS	AMPAD-ROSMAP-V2
20_120411	SM-CJGII	AMP-AD	ROS	AMPAD-ROSMAP-V2
463_120514	SM-CTDQE	AMP-AD	ROS	AMPAD-ROSMAP-V2
40_120416	SM-CTDSG	AMP-AD	ROS	AMPAD-ROSMAP-V2
458_120507	SM-CJGJ1	AMP-AD	MAP	AMPAD-ROSMAP-V2
567_120521	SM-CTDT8	AMP-AD	ROS	AMPAD-ROSMAP-V2
613_120523	SM-CJGID	AMP-AD	MAP	AMPAD-ROSMAP-V2
565_120517	SM-CJGNJ	AMP-AD	MAP	AMPAD-ROSMAP-V2
314_120501	SM-CTEIL	AMP-AD	ROS	AMPAD-ROSMAP-V2
501_120515	SM-CJGGR	AMP-AD	MAP	AMPAD-ROSMAP-V2
861_130911	SM-CJEK3	AMP-AD	ROS	AMPAD-ROSMAP-V2
328_120501	SM-CJK3J	AMP-AD	ROS	AMPAD-ROSMAP-V2
900_131010	SM-CJEIM	AMP-AD	ROS	AMPAD-ROSMAP-V2
477_120514	SM-CJK3S	AMP-AD	ROS	AMPAD-ROSMAP-V2
38_120416	SM-CTEG7	AMP-AD	MAP	AMPAD-ROSMAP-V2
281_120430	SM-CTDSO	AMP-AD	ROS	AMPAD-ROSMAP-V2
378_120503	ROS21001807	AMP-AD	ROS	AMPAD-ROSMAP-V2
943_131101	SM-CTDUH	AMP-AD	MAP	AMPAD-ROSMAP-V2
468_120514	SM-CJGMX	AMP-AD	MAP	AMPAD-ROSMAP-V2
524_120515	SM-CTEN5	AMP-AD	MAP	AMPAD-ROSMAP-V2
834_130729	SM-CJGMH	AMP-AD	MAP	AMPAD-ROSMAP-V2
102_120418	SM-CJFN6	AMP-AD	MAP	AMPAD-ROSMAP-V2
291_120430	SM-CJGLS	AMP-AD	MAP	AMPAD-ROSMAP-V2
545_120516	SM-CJEJ4	AMP-AD	MAP	AMPAD-ROSMAP-V2
411_120503	SM-CJJ1H	AMP-AD	MAP	AMPAD-ROSMAP-V2
938_131101	SM-CJFOS	AMP-AD	ROS	AMPAD-ROSMAP-V2
505_120515	SM-CTEN2	AMP-AD	MAP	AMPAD-ROSMAP-V2
944_131107	SM-CJEGI	AMP-AD	MAP	AMPAD-ROSMAP-V2
206_120424	SM-CJGNQ	AMP-AD	MAP	AMPAD-ROSMAP-V2
517_120515	SM-CJIZP	AMP-AD	ROS	AMPAD-ROSMAP-V2
187_120424	SM-CTEM6	AMP-AD	ROS	AMPAD-ROSMAP-V2
768_130523	SM-CJJ28	AMP-AD	MAP	AMPAD-ROSMAP-V2
76_120417	SM-CJK45	AMP-AD	ROS	AMPAD-ROSMAP-V2
638_120524	SM-CJEHU	AMP-AD	ROS	AMPAD-ROSMAP-V2
699_120605	SM-CJK55	AMP-AD	ROS	AMPAD-ROSMAP-V2
89_120417	SM-CJIYE	AMP-AD	ROS	AMPAD-ROSMAP-V2
159_120423	SM-CJGLF	AMP-AD	MAP	AMPAD-ROSMAP-V2
112_120418	SM-CJIZI	AMP-AD	MAP	AMPAD-ROSMAP-V2
303_120430	SM-CJGGM	AMP-AD	ROS	AMPAD-ROSMAP-V2
531_120516	SM-CTDQN	AMP-AD	MAP	AMPAD-ROSMAP-V2
629_120524	SM-CJEI5	AMP-AD	MAP	AMPAD-ROSMAP-V2
197_120424	SM-CJGIA	AMP-AD	ROS	AMPAD-ROSMAP-V2
775_130528	SM-CJGMQ	AMP-AD	MAP	AMPAD-ROSMAP-V2
240_120426	SM-CJGNI	AMP-AD	MAP	AMPAD-ROSMAP-V2
30_120416	SM-CJGLI	AMP-AD	ROS	AMPAD-ROSMAP-V2
807_130701	SM-CJJ2N	AMP-AD	ROS	AMPAD-ROSMAP-V2
273_120430	SM-CTEGM	AMP-AD	MAP	AMPAD-ROSMAP-V2
815_130702	SM-CJEG8	AMP-AD	ROS	AMPAD-ROSMAP-V2
466_120514	SM-CTDQY	AMP-AD	MAP	AMPAD-ROSMAP-V2
946_131107	SM-CTDUP	AMP-AD	MAP	AMPAD-ROSMAP-V2
427_120507	SM-CJFP6	AMP-AD	MAP	AMPAD-ROSMAP-V2
136_120419	SM-CJGJ9	AMP-AD	ROS	AMPAD-ROSMAP-V2
620_120524	SM-CTECF	AMP-AD	MAP	AMPAD-ROSMAP-V2
571_120521	SM-CJGIE	AMP-AD	MAP	AMPAD-ROSMAP-V2
452_120507	SM-CTEMG	AMP-AD	MAP	AMPAD-ROSMAP-V2
550_120517	SM-CTENE	AMP-AD	ROS	AMPAD-ROSMAP-V2
628_120524	SM-CTECT	AMP-AD	MAP	AMPAD-ROSMAP-V2
451_120507	SM-CTDR2	AMP-AD	ROS	AMPAD-ROSMAP-V2
R24_131017	SM-CJIXB	AMP-AD	MAP	AMPAD-ROSMAP-V2
576_120521	SM-CTENF	AMP-AD	MAP	AMPAD-ROSMAP-V2
182_120424	SM-CTDT7	AMP-AD	ROS	AMPAD-ROSMAP-V2
551_120517	SM-CTEFZ	AMP-AD	MAP	AMPAD-ROSMAP-V2
280_120430	SM-CJK4C	AMP-AD	ROS	AMPAD-ROSMAP-V2
431_120507	SM-CJEFX	AMP-AD	ROS	AMPAD-ROSMAP-V2
248_120426	SM-CTEFM	AMP-AD	ROS	AMPAD-ROSMAP-V2
716_120531	SM-CJGIL	AMP-AD	MAP	AMPAD-ROSMAP-V2
693_120605	SM-CTECL	AMP-AD	ROS	AMPAD-ROSMAP-V2
700_120605	SM-CTEDW	AMP-AD	ROS	AMPAD-ROSMAP-V2
259_120426	SM-CTDSB	AMP-AD	ROS	AMPAD-ROSMAP-V2
402_120503	SM-CTDQM	AMP-AD	MAP	AMPAD-ROSMAP-V2
375_120502	SM-CTDSL	AMP-AD	ROS	AMPAD-ROSMAP-V2
36_120416	SM-CJEGR	AMP-AD	ROS	AMPAD-ROSMAP-V2
945_131107	SM-CJIZX	AMP-AD	MAP	AMPAD-ROSMAP-V2
781_130528	SM-CTDTE	AMP-AD	ROS	AMPAD-ROSMAP-V2
666_120530	SM-CJFOH	AMP-AD	ROS	AMPAD-ROSMAP-V2
386_120503	SM-CJGHH	AMP-AD	ROS	AMPAD-ROSMAP-V2
882_130918	SM-CTEEM	AMP-AD	MAP	AMPAD-ROSMAP-V2
844_130830	SM-CJGN4	AMP-AD	MAP	AMPAD-ROSMAP-V2
65_120417	SM-CTDSW	AMP-AD	ROS	AMPAD-ROSMAP-V2
253_120426	SM-CTDSC	AMP-AD	MAP	AMPAD-ROSMAP-V2
72_120417	SM-CJIZJ	AMP-AD	MAP	AMPAD-ROSMAP-V2
213_120425	SM-CJEJR	AMP-AD	MAP	AMPAD-ROSMAP-V2
568_120521	SM-CJFN3	AMP-AD	ROS	AMPAD-ROSMAP-V2
124_120419	SM-CTEDN	AMP-AD	MAP	AMPAD-ROSMAP-V2
392_120503	SM-CJFNJ	AMP-AD	MAP	AMPAD-ROSMAP-V2
350_120501	SM-CTDSJ	AMP-AD	ROS	AMPAD-ROSMAP-V2
703_120605	SM-CJEJJ	AMP-AD	ROS	AMPAD-ROSMAP-V2
778_130528	SM-CJGMK	AMP-AD	MAP	AMPAD-ROSMAP-V2
791_130530	SM-CJJ1Z	AMP-AD	MAP	AMPAD-ROSMAP-V2
299_120430	SM-CJJ2V	AMP-AD	ROS	AMPAD-ROSMAP-V2
236_120425	SM-CTEFP	AMP-AD	ROS	AMPAD-ROSMAP-V2
887_130923	SM-CTEGD	AMP-AD	MAP	AMPAD-ROSMAP-V2
475_120514	SM-CTDR5	AMP-AD	MAP	AMPAD-ROSMAP-V2
369_120502	SM-CTDTM	AMP-AD	MAP	AMPAD-ROSMAP-V2
533_120516	SM-CJJ1S	AMP-AD	MAP	AMPAD-ROSMAP-V2
506_120515	SM-CJGJ5	AMP-AD	MAP	AMPAD-ROSMAP-V2
805_130701	SM-CJJ2P	AMP-AD	ROS	AMPAD-ROSMAP-V2
292_120430	SM-CJGNP	AMP-AD	MAP	AMPAD-ROSMAP-V2
354_120501	SM-CJIWS	AMP-AD	ROS	AMPAD-ROSMAP-V2
15_120410	SM-CJFNR	AMP-AD	ROS	AMPAD-ROSMAP-V2
420_120507	SM-CTDR6	AMP-AD	MAP	AMPAD-ROSMAP-V2
616_120524	SM-CJFNK	AMP-AD	ROS	AMPAD-ROSMAP-V2
631_120524	SM-CJEIE	AMP-AD	ROS	AMPAD-ROSMAP-V2
133_120419	SM-CJIYM	AMP-AD	MAP	AMPAD-ROSMAP-V2
500_120515	SM-CJGIH	AMP-AD	ROS	AMPAD-ROSMAP-V2
redo4_140501	SM-CJJ2G	AMP-AD	ROS	AMPAD-ROSMAP-V2
149_120419	SM-CJGHV	AMP-AD	ROS	AMPAD-ROSMAP-V2
388_120503	SM-CJK5K	AMP-AD	ROS	AMPAD-ROSMAP-V2
957_131107	SM-CJGMJ	AMP-AD	MAP	AMPAD-ROSMAP-V2
370_120502	SM-CJGHY	AMP-AD	ROS	AMPAD-ROSMAP-V2
905_131010	SM-CTED2	AMP-AD	ROS	AMPAD-ROSMAP-V2
128_120419	ROS15738428	AMP-AD	ROS	AMPAD-ROSMAP-V2
193_120424	SM-CJGGV	AMP-AD	ROS	AMPAD-ROSMAP-V2
646_120524	SM-CJJ34	AMP-AD	ROS	AMPAD-ROSMAP-V2
358_120502	SM-CJGLV	AMP-AD	ROS	AMPAD-ROSMAP-V2
162_120423	SM-CTEE3	AMP-AD	ROS	AMPAD-ROSMAP-V2
956_131107	SM-CJGMR	AMP-AD	MAP	AMPAD-ROSMAP-V2
594_120522	SM-CJEIA	AMP-AD	ROS	AMPAD-ROSMAP-V2
73_120417	SM-CJK4H	AMP-AD	ROS	AMPAD-ROSMAP-V2
238_120426	SM-CJK4W	AMP-AD	MAP	AMPAD-ROSMAP-V2
951_131107	SM-CTEGW	AMP-AD	MAP	AMPAD-ROSMAP-V2
26_120411	SM-CJGHI	AMP-AD	ROS	AMPAD-ROSMAP-V2
406_120503	SM-CTEIR	AMP-AD	ROS	AMPAD-ROSMAP-V2
318_120501	SM-CJIWV	AMP-AD	ROS	AMPAD-ROSMAP-V2
384_120503	SM-CJEKA	AMP-AD	ROS	AMPAD-ROSMAP-V2
885_130923	SM-CJIYX	AMP-AD	MAP	AMPAD-ROSMAP-V2
602_120523	SM-CJIXP	AMP-AD	ROS	AMPAD-ROSMAP-V2
260_120426	SM-CTEFQ	AMP-AD	ROS	AMPAD-ROSMAP-V2
353_120501	SM-CTEFH	AMP-AD	MAP	AMPAD-ROSMAP-V2
884_130923	SM-CTEFB	AMP-AD	MAP	AMPAD-ROSMAP-V2
270_120430	SM-CJGHS	AMP-AD	ROS	AMPAD-ROSMAP-V2
720_120531	SM-CTEDP	AMP-AD	MAP	AMPAD-ROSMAP-V2
718_120531	SM-CTDS6	AMP-AD	MAP	AMPAD-ROSMAP-V2
44_120416	SM-CJEI3	AMP-AD	ROS	AMPAD-ROSMAP-V2
939_131101	SM-CJFP7	AMP-AD	ROS	AMPAD-ROSMAP-V2
416_120503	SM-CTDR4	AMP-AD	ROS	AMPAD-ROSMAP-V2
241_120426	SM-CTDQW	AMP-AD	ROS	AMPAD-ROSMAP-V2
845_130830	SM-CTECI	AMP-AD	ROS	AMPAD-ROSMAP-V2
01_120405	SM-CTEFX	AMP-AD	ROS	AMPAD-ROSMAP-V2
35_120416	SM-CJEH2	AMP-AD	ROS	AMPAD-ROSMAP-V2
496_120515	SM-CJEFQ	AMP-AD	MAP	AMPAD-ROSMAP-V2
590_120522	SM-CJEK6	AMP-AD	ROS	AMPAD-ROSMAP-V2
21_120411	SM-CTDTR	AMP-AD	MAP	AMPAD-ROSMAP-V2
307_120430	SM-CTDU1	AMP-AD	MAP	AMPAD-ROSMAP-V2
96_120417	SM-CJGHO	AMP-AD	ROS	AMPAD-ROSMAP-V2
676_120604	SM-CJGNT	AMP-AD	MAP	AMPAD-ROSMAP-V2
363_120502	MAP50104134	AMP-AD	MAP	AMPAD-ROSMAP-V2
56_120417	SM-CJGN9	AMP-AD	ROS	AMPAD-ROSMAP-V2
705_120605	SM-CTECQ	AMP-AD	ROS	AMPAD-ROSMAP-V2
219_120425	SM-CJIZH	AMP-AD	MAP	AMPAD-ROSMAP-V2
12_120410	SM-CJGN1	AMP-AD	ROS	AMPAD-ROSMAP-V2
879_130918	SM-CTEG4	AMP-AD	MAP	AMPAD-ROSMAP-V2
331_120501	SM-CTDRE	AMP-AD	MAP	AMPAD-ROSMAP-V2
368_120502	SM-CJGGU	AMP-AD	ROS	AMPAD-ROSMAP-V2
326_120501	MAP50106992	AMP-AD	MAP	AMPAD-ROSMAP-V2
595_120522	SM-CJFO7	AMP-AD	MAP	AMPAD-ROSMAP-V2
668_120530	SM-CJFOF	AMP-AD	ROS	AMPAD-ROSMAP-V2
177_120424	SM-CJGIW	AMP-AD	MAP	AMPAD-ROSMAP-V2
355_120501	SM-CTDSP	AMP-AD	ROS	AMPAD-ROSMAP-V2
680_120604	SM-CJGLH	AMP-AD	ROS	AMPAD-ROSMAP-V2
493_120515	SM-CJGI4	AMP-AD	MAP	AMPAD-ROSMAP-V2
909_131031	SM-CJGMU	AMP-AD	MAP	AMPAD-ROSMAP-V2
911_131031	SM-CTEFL	AMP-AD	MAP	AMPAD-ROSMAP-V2
453_120507	SM-CJGJ2	AMP-AD	ROS	AMPAD-ROSMAP-V2
426_120507	SM-CJK5J	AMP-AD	MAP	AMPAD-ROSMAP-V2
509_120515	SM-CTDTA	AMP-AD	MAP	AMPAD-ROSMAP-V2
813_130702	SM-CTDTO	AMP-AD	MAP	AMPAD-ROSMAP-V2
811_130702	SM-CJEH3	AMP-AD	MAP	AMPAD-ROSMAP-V2
647_120529	SM-CJEG3	AMP-AD	MAP	AMPAD-ROSMAP-V2
188_120424	SM-CTEE4	AMP-AD	ROS	AMPAD-ROSMAP-V2
34_120416	MAP50104846	AMP-AD	MAP	AMPAD-ROSMAP-V2
525_120515	SM-CTEEG	AMP-AD	MAP	AMPAD-ROSMAP-V2
573_120521	SM-CJEJA	AMP-AD	ROS	AMPAD-ROSMAP-V2
589_120522	SM-CJEK7	AMP-AD	ROS	AMPAD-ROSMAP-V2
25_120411	SM-CJK3C	AMP-AD	ROS	AMPAD-ROSMAP-V2
364_120502	SM-CTDSI	AMP-AD	ROS	AMPAD-ROSMAP-V2
160_120423	SM-CTDRF	AMP-AD	ROS	AMPAD-ROSMAP-V2
100_120417	SM-CTDST	AMP-AD	ROS	AMPAD-ROSMAP-V2
605_120523	MAP46246604	AMP-AD	MAP	AMPAD-ROSMAP-V2
332_120501	SM-CJIX6	AMP-AD	ROS	AMPAD-ROSMAP-V2
93_120417	SM-CJGNF	AMP-AD	MAP	AMPAD-ROSMAP-V2
489_120515	SM-CTDRI	AMP-AD	MAP	AMPAD-ROSMAP-V2
776_130528	SM-CJJ2F	AMP-AD	MAP	AMPAD-ROSMAP-V2
327_120501	SM-CJK5E	AMP-AD	MAP	AMPAD-ROSMAP-V2
60_120417	SM-CJK58	AMP-AD	ROS	AMPAD-ROSMAP-V2
599_120523	SM-CJFN5	AMP-AD	ROS	AMPAD-ROSMAP-V2
309_120430	SM-CTDR8	AMP-AD	MAP	AMPAD-ROSMAP-V2
271_120430	SM-CJGIT	AMP-AD	ROS	AMPAD-ROSMAP-V2
398_120503	SM-CJEJG	AMP-AD	MAP	AMPAD-ROSMAP-V2
635_120524	SM-CTEMU	AMP-AD	MAP	AMPAD-ROSMAP-V2
617_120524	SM-CJGJ8	AMP-AD	MAP	AMPAD-ROSMAP-V2
132_120419	SM-CJEIN	AMP-AD	ROS	AMPAD-ROSMAP-V2
709_120531	SM-CJJ2U	AMP-AD	MAP	AMPAD-ROSMAP-V2
224_120425	SM-CTDQI	AMP-AD	MAP	AMPAD-ROSMAP-V2
672_120530	SM-CJJ35	AMP-AD	ROS	AMPAD-ROSMAP-V2
462_120514	SM-CJGLD	AMP-AD	MAP	AMPAD-ROSMAP-V2
876_130918	SM-CJGMO	AMP-AD	MAP	AMPAD-ROSMAP-V2
487_120515	SM-CJGLT	AMP-AD	MAP	AMPAD-ROSMAP-V2
428_120507	SM-CJGNN	AMP-AD	ROS	AMPAD-ROSMAP-V2
656_120529	SM-CJFNF	AMP-AD	ROS	AMPAD-ROSMAP-V2
670_120530	SM-CJJ2Z	AMP-AD	ROS	AMPAD-ROSMAP-V2
484_120515	SM-CTEGQ	AMP-AD	ROS	AMPAD-ROSMAP-V2
690_120604	SM-CTEER	AMP-AD	MAP	AMPAD-ROSMAP-V2
682_120604	SM-CJK3D	AMP-AD	MAP	AMPAD-ROSMAP-V2
254_120426	SM-CTDRG	AMP-AD	MAP	AMPAD-ROSMAP-V2
256_120426	SM-CJIZ5	AMP-AD	ROS	AMPAD-ROSMAP-V2
644_120524	SM-CJK3X	AMP-AD	MAP	AMPAD-ROSMAP-V2
797_130701	SM-CJFNS	AMP-AD	ROS	AMPAD-ROSMAP-V2
267_120430	SM-CJGIM	AMP-AD	ROS	AMPAD-ROSMAP-V2
548_120516	SM-CTDTQ	AMP-AD	MAP	AMPAD-ROSMAP-V2
79_120417	ROS20998065	AMP-AD	ROS	AMPAD-ROSMAP-V2
824_130725	SM-CJFNL	AMP-AD	MAP	AMPAD-ROSMAP-V2
669_120530	SM-CJGMV	AMP-AD	MAP	AMPAD-ROSMAP-V2
174_120424	SM-CTEMM	AMP-AD	ROS	AMPAD-ROSMAP-V2
283_120430	SM-CTEDQ	AMP-AD	ROS	AMPAD-ROSMAP-V2
02_120405	SM-CJIWX	AMP-AD	ROS	AMPAD-ROSMAP-V2
218_120425	SM-CTDTX	AMP-AD	ROS	AMPAD-ROSMAP-V2
581_120521	SM-CJIYF	AMP-AD	MAP	AMPAD-ROSMAP-V2
204_120424	SM-CJIWT	AMP-AD	ROS	AMPAD-ROSMAP-V2
212_120424	SM-CJK4M	AMP-AD	ROS	AMPAD-ROSMAP-V2
118_120418	SM-CJK4S	AMP-AD	MAP	AMPAD-ROSMAP-V2
325_120501	SM-CJIY1	AMP-AD	MAP	AMPAD-ROSMAP-V2
97_120417	SM-CTEGF	AMP-AD	ROS	AMPAD-ROSMAP-V2
649_120529	SM-CTDS7	AMP-AD	ROS	AMPAD-ROSMAP-V2
935_131101	MAP50106442	AMP-AD	MAP	AMPAD-ROSMAP-V2
564_120517	SM-CJGLG	AMP-AD	MAP	AMPAD-ROSMAP-V2
11_120410	SM-CTDTJ	AMP-AD	MAP	AMPAD-ROSMAP-V2
337_120501	SM-CTDRA	AMP-AD	MAP	AMPAD-ROSMAP-V2
470_120514	SM-CJEHR	AMP-AD	MAP	AMPAD-ROSMAP-V2
662_120530	SM-CJEIU	AMP-AD	MAP	AMPAD-ROSMAP-V2
250_120426	SM-CJGNZ	AMP-AD	MAP	AMPAD-ROSMAP-V2
678_120604	SM-CJIZL	AMP-AD	MAP	AMPAD-ROSMAP-V2
502_120515	SM-CTEMJ	AMP-AD	MAP	AMPAD-ROSMAP-V2
449_120507	SM-CJFO5	AMP-AD	ROS	AMPAD-ROSMAP-V2
456_120507	SM-CTDTK	AMP-AD	ROS	AMPAD-ROSMAP-V2
288_120430	SM-CJIYJ	AMP-AD	MAP	AMPAD-ROSMAP-V2
129_120419	SM-CJEIJ	AMP-AD	MAP	AMPAD-ROSMAP-V2
296_120430	SM-CJEFU	AMP-AD	MAP	AMPAD-ROSMAP-V2
HRA_00064	CGND-HDA-00197-b38	TargetALS	TargetALS	TargetALS
HRA_00215	CGND-HDA-00590-b38	TargetALS	TargetALS	TargetALS
HRA_00364	CGND-HDA-01318-b38	TargetALS	TargetALS	TargetALS
HRA_00587	CGND-HDA-02053	TargetALS	TargetALS	TargetALS
HRA_00321	CGND-HDA-01313-b38	TargetALS	TargetALS	TargetALS
HRA_00083	CGND-HDA-00188-b38	TargetALS	TargetALS	TargetALS
HRA_00218	CGND-HDA-00593-b38	TargetALS	TargetALS	TargetALS
HRA_00086	CGND-HDA-00191-b38	TargetALS	TargetALS	TargetALS
HRA_00626	CGND-HDA-00552-b38	TargetALS	TargetALS	TargetALS
HRA_00531	CGND-HDA-00543-b38	TargetALS	TargetALS	TargetALS
HRA_01238	CGND-HDA-00562-b38	TargetALS	TargetALS	TargetALS
HRA_00681	CGND-HDA-00567-b38	TargetALS	TargetALS	TargetALS
HRA_00336	CGND-HDA-01315-b38	TargetALS	TargetALS	TargetALS
HRA_00439	CGND-HDA-01330-b38	TargetALS	TargetALS	TargetALS
HRA_00532	CGND-HDA-00544-b38	TargetALS	TargetALS	TargetALS
HRA_00205	CGND-HDA-00592-b38	TargetALS	TargetALS	TargetALS
HRA_00303	CGND-HDA-01311-b38	TargetALS	TargetALS	TargetALS
HRA_00043	CGND-HDA-00190-b38	TargetALS	TargetALS	TargetALS
HRA_00415	CGND-HDA-01326-b38	TargetALS	TargetALS	TargetALS
HRA_01233	CGND-HDA-00559-b38	TargetALS	TargetALS	TargetALS
HRA_01213	CGND-HDA-01699	TargetALS	TargetALS	TargetALS
HRA_00430	CGND-HDA-01329-b38	TargetALS	TargetALS	TargetALS
HRA_00222	CGND-HDA-00591-b38	TargetALS	TargetALS	TargetALS
HRA_00615	CGND-HDA-00551-b38	TargetALS	TargetALS	TargetALS
HRA_00614	CGND-HDA-00550-b38	TargetALS	TargetALS	TargetALS
HRA_00351	CGND-HDA-01317-b38	TargetALS	TargetALS	TargetALS
HRA_00668	CGND-HDA-00564-b38	TargetALS	TargetALS	TargetALS
