RnaID	GenotypeID	MetaCohort	RNADataset	GenotypeIndividualsDataset
2016-798	2016-798	PsychEncode	BrainGVEx	GVEX
2015-772	2015-772	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1450	2015-1450	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-737	2015-737	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2630	2015-2630	PsychEncode	BrainGVEx	GVEX
2015-1543	2015-1543	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2586	2015-2586	PsychEncode	BrainGVEx	GVEX
2015-1509	2015-1509	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-805	2015-805	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1453	2015-1453	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1342	2015-1342	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2883	2015-2883	PsychEncode	BrainGVEx	GVEX
2015-482	2015-482	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3168	2015-3168	PsychEncode	BrainGVEx	GVEX
2016-952	2016-952	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1553	2015-1553	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1340	2015-1340	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-950	2016-950	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2924	2015-2924	PsychEncode	BrainGVEx	GVEX
2015-350	2015-350	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2628	2014-2628	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-887	2016-887	PsychEncode	BrainGVEx	GVEX
2016-799	2016-799	PsychEncode	BrainGVEx	GVEX
2015-1452	2015-1452	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-900	2015-900	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-355	2015-355	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-809	2015-809	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-40	2015-40	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3234	2015-3234	PsychEncode	BrainGVEx	GVEX
2016-963	2016-963	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1401	2015-1401	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-893	2015-893	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1405	2015-1405	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1400	2015-1400	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2587	2015-2587	PsychEncode	BrainGVEx	GVEX
2015-42	2015-42	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3277	2015-3277	PsychEncode	BrainGVEx	GVEX
2016-955	2016-955	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-938	2016-938	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1335	2015-1335	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1406	2015-1406	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-35	2015-35	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-936	2016-936	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3169	2015-3169	PsychEncode	BrainGVEx	GVEX
2015-3165	2015-3165	PsychEncode	BrainGVEx	GVEX
2015-891	2015-891	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-477	2015-477	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2627	2015-2627	PsychEncode	BrainGVEx	GVEX
2015-858	2015-858	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-510	2015-510	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2195	2014-2195	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-929	2016-929	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2624	2014-2624	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2595	2015-2595	PsychEncode	BrainGVEx	GVEX
2015-1540	2015-1540	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-953	2016-953	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-827	2016-827	PsychEncode	BrainGVEx	GVEX
2016-895	2016-895	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1399	2015-1399	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1504	2015-1504	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-928	2016-928	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1443	2015-1443	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-1426	2015-1426	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3164	2015-3164	PsychEncode	BrainGVEx	GVEX
2015-513	2015-513	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-3086	2015-3086	PsychEncode	BrainGVEx	GVEX
2015-2606	2015-2606	PsychEncode	BrainGVEx	GVEX
2016-891	2016-891	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2626	2015-2626	PsychEncode	BrainGVEx	GVEX
2015-803	2015-803	PsychEncode	BrainGVEx	BrainGVEX-V2
2014-2196	2014-2196	PsychEncode	BrainGVEx	BrainGVEX-V2
2016-830	2016-830	PsychEncode	BrainGVEx	GVEX
2015-3236	2015-3236	PsychEncode	BrainGVEx	GVEX
2015-857	2015-857	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-518	2015-518	PsychEncode	BrainGVEx	BrainGVEX-V2
2015-2628	2015-2628	PsychEncode	BrainGVEx	GVEX
2015-774	2015-774	PsychEncode	BrainGVEx	BrainGVEX-V2
